imageName	leafletID	Class	ScalingFactor	distBottomTerminal	distanceToTerminalL	LeafArea	LeafPerimeter	Area	splitPoint1X	splitPoint1Y	splitPoint2X	splitPoint2Y	cutpointleafCoordinatesX	cutpointleafCoordinatesY	centerX	centerY
Ox_09	1	leaflet	0.25	1648	0	382240	7944	160880	169	265	156	269	162	265	214.433316757832	158.007657881651
Ox_09	2	leaflet	0.25	1648	452	382240	7944	56672	139	346	132	359	132	349	324.583850931677	111.025127046866
Ox_09	3	leaflet	0.25	1648	468	382240	7944	53328	199	344	207	353	207	344	323.028502850285	227.033603360336
Ox_09	5	leaflet	0.25	1648	896	382240	7944	18624	200	464	207	478	207	468	459.175257731959	222.414948453608
Ox_09	4	leaflet	0.25	1648	920	382240	7944	19088	134	471	126	482	126	473	460.397317686505	114.803017602682
Ox_09	7	smallLeaflet	0.25	1648	1328	382240	7944	3040	172	590	173	593	171	591	582.957894736842	189.552631578947
Ox_09	8	bottomPoint	0.25	1648	1648	382240	7944	0	NaN	NaN	NaN	NaN	NaN	NaN	165	674
Ox_09	9	TopPoint	0.25	1648	NaN	382240	7944	0	NaN	NaN	NaN	NaN	NaN	NaN	161	162
Ox_09	10	midPoint	0.25	1648	NaN	382240	7944	0	NaN	NaN	NaN	NaN	NaN	NaN	221	225
Ox_09	11	midPoint	0.25	1648	NaN	382240	7944	0	NaN	NaN	NaN	NaN	NaN	NaN	96	228
Ox_09	12	angePoint	0.25	1648	NaN	382240	7944	0	NaN	NaN	NaN	NaN	NaN	NaN	188	257
Ox_09	13	angePoint	0.25	1648	NaN	382240	7944	0	NaN	NaN	NaN	NaN	NaN	NaN	110	182
Ox_09	14	angePoint	0.25	1648	NaN	382240	7944	0	NaN	NaN	NaN	NaN	NaN	NaN	125	261
Ox_09	15	angePoint	0.25	1648	NaN	382240	7944	0	NaN	NaN	NaN	NaN	NaN	NaN	206	180
