imageName	leafletID	Class	ScalingFactor	distBottomTerminal	distanceToTerminalL	LeafArea	LeafPerimeter	Area	splitPoint1X	splitPoint1Y	splitPoint2X	splitPoint2Y	cutpointleafCoordinatesX	cutpointleafCoordinatesY	centerX	centerY
Ox_29	1	leaflet	0.25	387	0	20359	1799	9748	142	305	153	305	147	303	258.097558473533	141.025030775544
Ox_29	2	leaflet	0.25	387	101	20359	1799	2816	101	377	99	387	98	381	367.210227272727	72.8338068181818
Ox_29	3	leaflet	0.25	387	108	20359	1799	1804	179	387	179	393	183	390	381.016075388027	203.504988913525
Ox_29	5	leaflet	0.25	387	230	20359	1799	1209	181	510	184	521	185	514	509.087675765095	205.39205955335
Ox_29	4	leaflet	0.25	387	207	20359	1799	779	122	487	117	495	117	488	476.355584082157	107.637997432606
Ox_29	6	bottomPoint	0.25	387	387	20359	1799	0	NaN	NaN	NaN	NaN	NaN	NaN	140	688
Ox_29	7	TopPoint	0.25	387	NaN	20359	1799	0	NaN	NaN	NaN	NaN	NaN	NaN	149	210
Ox_29	8	midPoint	0.25	387	NaN	20359	1799	0	NaN	NaN	NaN	NaN	NaN	NaN	205	270
Ox_29	9	midPoint	0.25	387	NaN	20359	1799	0	NaN	NaN	NaN	NaN	NaN	NaN	80	266
Ox_29	10	anglePoint	0.25	387	NaN	20359	1799	0	NaN	NaN	NaN	NaN	NaN	NaN	174	297
Ox_29	11	anglePoint	0.25	387	NaN	20359	1799	0	NaN	NaN	NaN	NaN	NaN	NaN	99	224
Ox_29	12	anglePoint	0.25	387	NaN	20359	1799	0	NaN	NaN	NaN	NaN	NaN	NaN	108	305
Ox_29	13	anglePoint	0.25	387	NaN	20359	1799	0	NaN	NaN	NaN	NaN	NaN	NaN	186	226
