imageName	leafletID	Class	ScalingFactor	distBottomTerminal	distanceToTerminalL	LeafArea	LeafPerimeter	Area	splitPoint1X	splitPoint1Y	splitPoint2X	splitPoint2Y	cutpointleafCoordinatesX	cutpointleafCoordinatesY	centerX	centerY
Nz_003 copy 4	1	leaflet	0.25	367	0	40857	2377	18200	165	332	151	335	158	332	263.026318681319	166.282527472527
Nz_003 copy 4	3	leaflet	0.25	367	83	40857	2377	4741	193	398	191	410	195	404	386.516135836321	234.682767348661
Nz_003 copy 4	2	leaflet	0.25	367	75	40857	2377	5169	133	391	129	404	129	395	369.909073321726	95.3254014316115
Nz_003 copy 4	4	leaflet	0.25	367	157	40857	2377	2769	132	491	130	481	128	487	482.264355362947	96.5283495846876
Nz_003 copy 4	5	leaflet	0.25	367	167	40857	2377	2791	196	495	195	483	198	489	481.261554998209	230.889286993909
Nz_003 copy 4	6	leaflet	0.25	367	265	40857	2377	1160	127	586	128	599	125	592	588.818965517241	104.077586206897
Nz_003 copy 4	7	leaflet	0.25	367	278	40857	2377	611	197	598	196	612	197	605	605.324058919804	212.813420621931
Nz_003 copy 4	8	bottomPoint	0.25	367	367	40857	2377	0	NaN	NaN	NaN	NaN	NaN	NaN	167	696
Nz_003 copy 4	9	TopPoint	0.25	367	NaN	40857	2377	0	NaN	NaN	NaN	NaN	NaN	NaN	154	192
Nz_003 copy 4	10	midPoint	0.25	367	NaN	40857	2377	0	NaN	NaN	NaN	NaN	NaN	NaN	251	265
Nz_003 copy 4	11	midPoint	0.25	367	NaN	40857	2377	0	NaN	NaN	NaN	NaN	NaN	NaN	77	273
Nz_003 copy 4	12	anglePoint	0.25	367	NaN	40857	2377	0	NaN	NaN	NaN	NaN	NaN	NaN	206	324
Nz_003 copy 4	13	anglePoint	0.25	367	NaN	40857	2377	0	NaN	NaN	NaN	NaN	NaN	NaN	101	218
Nz_003 copy 4	14	anglePoint	0.25	367	NaN	40857	2377	0	NaN	NaN	NaN	NaN	NaN	NaN	111	314
Nz_003 copy 4	15	anglePoint	0.25	367	NaN	40857	2377	0	NaN	NaN	NaN	NaN	NaN	NaN	215	210
