imageName	leafletID	Class	ScalingFactor	distBottomTerminal	distanceToTerminalL	LeafArea	LeafPerimeter	Area	splitPoint1X	splitPoint1Y	splitPoint2X	splitPoint2Y	cutpointleafCoordinatesX	cutpointleafCoordinatesY	centerX	centerY
Nz_003 copy 2	1	leaflet	0.25	1080	0	358928	5932	200128	159	337	173	337	166	335	281.785737128238	168.041173648865
Nz_003 copy 2	3	leaflet	0.25	1080	280	358928	5932	39968	188	387	193	401	195	391	370.035228182546	214.022017614091
Nz_003 copy 2	2	leaflet	0.25	1080	268	358928	5932	41264	153	390	145	402	145	392	371.909267157813	129.826677006592
Nz_003 copy 2	4	leaflet	0.25	1080	564	358928	5932	24768	142	461	134	475	134	464	452.563953488372	119.359173126615
Nz_003 copy 2	5	smallLeaflet	0.25	1080	584	358928	5932	7696	171	475	172	478	168	476	467.307692307692	194.623700623701
Nz_003 copy 2	6	bottomPoint	0.25	1080	1080	358928	5932	0	NaN	NaN	NaN	NaN	NaN	NaN	174	601
Nz_003 copy 2	7	TopPoint	0.25	1080	NaN	358928	5932	0	NaN	NaN	NaN	NaN	NaN	NaN	162	224
Nz_003 copy 2	8	midPoint	0.25	1080	NaN	358928	5932	0	NaN	NaN	NaN	NaN	NaN	NaN	241	283
Nz_003 copy 2	9	midPoint	0.25	1080	NaN	358928	5932	0	NaN	NaN	NaN	NaN	NaN	NaN	97	290
Nz_003 copy 2	10	angePoint	0.25	1080	NaN	358928	5932	0	NaN	NaN	NaN	NaN	NaN	NaN	206	330
Nz_003 copy 2	11	angePoint	0.25	1080	NaN	358928	5932	0	NaN	NaN	NaN	NaN	NaN	NaN	117	241
Nz_003 copy 2	12	angePoint	0.25	1080	NaN	358928	5932	0	NaN	NaN	NaN	NaN	NaN	NaN	123	326
Nz_003 copy 2	13	angePoint	0.25	1080	NaN	358928	5932	0	NaN	NaN	NaN	NaN	NaN	NaN	207	240
