imageName	leafletID	Class	ScalingFactor	distBottomTerminal	distanceToTerminalL	LeafArea	LeafPerimeter	Area	splitPoint1X	splitPoint1Y	splitPoint2X	splitPoint2Y	cutpointleafCoordinatesX	cutpointleafCoordinatesY	centerX	centerY
Nz_002 copy 2	1	leaflet	0.25	1160	0	519424	7812	231296	154	350	167	351	160	349	287.262313226342	165.07090481461
Nz_002 copy 2	2	leaflet	0.25	1160	248	519424	7812	59040	141	401	139	413	138	406	395.159078590786	103.941192411924
Nz_002 copy 2	3	leaflet	0.25	1160	220	519424	7812	71808	192	391	191	403	194	397	389.751559714795	233.239750445633
Nz_002 copy 2	5	leaflet	0.25	1160	504	519424	7812	38592	193	463	192	475	195	469	463.356135986733	222.985903814262
Nz_002 copy 2	4	leaflet	0.25	1160	520	519424	7812	35248	140	472	142	484	138	478	469.370403994553	112.026781661371
Nz_002 copy 2	7	leaflet	0.25	1160	836	519424	7812	13984	192	540	196	553	196	544	540.130434782609	205.550343249428
Nz_002 copy 2	6	leaflet	0.25	1160	880	519424	7812	8912	148	554	142	565	142	556	550.612208258528	133.222621184919
Nz_002 copy 2	8	bottomPoint	0.25	1160	1160	519424	7812	0	NaN	NaN	NaN	NaN	NaN	NaN	171	637
Nz_002 copy 2	9	TopPoint	0.25	1160	NaN	519424	7812	0	NaN	NaN	NaN	NaN	NaN	NaN	155	225
Nz_002 copy 2	10	midPoint	0.25	1160	NaN	519424	7812	0	NaN	NaN	NaN	NaN	NaN	NaN	243	299
Nz_002 copy 2	11	midPoint	0.25	1160	NaN	519424	7812	0	NaN	NaN	NaN	NaN	NaN	NaN	86	308
Nz_002 copy 2	12	angePoint	0.25	1160	NaN	519424	7812	0	NaN	NaN	NaN	NaN	NaN	NaN	191	338
Nz_002 copy 2	13	angePoint	0.25	1160	NaN	519424	7812	0	NaN	NaN	NaN	NaN	NaN	NaN	107	254
Nz_002 copy 2	14	angePoint	0.25	1160	NaN	519424	7812	0	NaN	NaN	NaN	NaN	NaN	NaN	124	337
Nz_002 copy 2	15	angePoint	0.25	1160	NaN	519424	7812	0	NaN	NaN	NaN	NaN	NaN	NaN	215	244
