imageName	leafletID	Class	ScalingFactor	distBottomTerminal	distanceToTerminalL	LeafArea	LeafPerimeter	Area	splitPoint1X	splitPoint1Y	splitPoint2X	splitPoint2Y	cutpointleafCoordinatesX	cutpointleafCoordinatesY	centerX	centerY
Nz_008 copy 4	1	leaflet	0.25	940	0	284176	5276	147104	162	387	150	388	156	385	335.765608005221	155.615183815532
Nz_008 copy 4	2	leaflet	0.25	940	208	284176	5276	36304	135	424	132	438	131	429	419.371970030851	106.955927721463
Nz_008 copy 4	3	leaflet	0.25	940	256	284176	5276	34656	175	428	181	440	182	431	413.132502308403	198.644967682364
Nz_008 copy 4	4	leaflet	0.25	940	508	284176	5276	15072	139	494	132	505	133	497	485.231422505308	121.875796178344
Nz_008 copy 4	5	leaflet	0.25	940	496	284176	5276	9056	173	488	179	499	179	490	484.340989399293	186.969964664311
Nz_008 copy 4	6	bottomPoint	0.25	940	940	284176	5276	0	NaN	NaN	NaN	NaN	NaN	NaN	166	618
Nz_008 copy 4	7	TopPoint	0.25	940	NaN	284176	5276	0	NaN	NaN	NaN	NaN	NaN	NaN	151	283
Nz_008 copy 4	8	midPoint	0.25	940	NaN	284176	5276	0	NaN	NaN	NaN	NaN	NaN	NaN	219	350
Nz_008 copy 4	9	midPoint	0.25	940	NaN	284176	5276	0	NaN	NaN	NaN	NaN	NaN	NaN	99	357
Nz_008 copy 4	10	angePoint	0.25	940	NaN	284176	5276	0	NaN	NaN	NaN	NaN	NaN	NaN	177	376
Nz_008 copy 4	11	angePoint	0.25	940	NaN	284176	5276	0	NaN	NaN	NaN	NaN	NaN	NaN	108	307
Nz_008 copy 4	12	angePoint	0.25	940	NaN	284176	5276	0	NaN	NaN	NaN	NaN	NaN	NaN	131	376
Nz_008 copy 4	13	angePoint	0.25	940	NaN	284176	5276	0	NaN	NaN	NaN	NaN	NaN	NaN	200	307
