imageName	leafletID	Class	ScalingFactor	distBottomTerminal	distanceToTerminalL	LeafArea	LeafPerimeter	Area	splitPoint1X	splitPoint1Y	splitPoint2X	splitPoint2Y	cutpointleafCoordinatesX	cutpointleafCoordinatesY	centerX	centerY
Nz_003 copy 3	1	leaflet	0.25	1120	0	376688	6672	199648	150	343	136	339	144	339	285.922984452637	147.506491424908
Nz_003 copy 3	2	leaflet	0.25	1120	332	376688	6672	36240	123	414	125	426	119	420	418.320088300221	95.4397350993378
Nz_003 copy 3	3	leaflet	0.25	1120	312	376688	6672	30736	162	408	163	420	168	413	402.097865694951	185.181676210307
Nz_003 copy 3	5	leaflet	0.25	1120	556	376688	6672	17024	165	471	164	483	170	476	473.138157894737	183.263157894737
Nz_003 copy 3	4	leaflet	0.25	1120	592	376688	6672	23616	122	484	123	496	118	490	487.493902439024	98.9410569105691
Nz_003 copy 3	7	leaflet	0.25	1120	788	376688	6672	7088	175	526	174	540	176	533	533.196388261851	186.702031602709
Nz_003 copy 3	6	leaflet	0.25	1120	840	376688	6672	6320	124	555	125	541	124	548	547.093670886076	113.410126582278
Nz_003 copy 3	8	bottomPoint	0.25	1120	1120	376688	6672	0	NaN	NaN	NaN	NaN	NaN	NaN	166	615
Nz_003 copy 3	9	TopPoint	0.25	1120	NaN	376688	6672	0	NaN	NaN	NaN	NaN	NaN	NaN	135	229
Nz_003 copy 3	10	midPoint	0.25	1120	NaN	376688	6672	0	NaN	NaN	NaN	NaN	NaN	NaN	220	290
Nz_003 copy 3	11	midPoint	0.25	1120	NaN	376688	6672	0	NaN	NaN	NaN	NaN	NaN	NaN	78	302
Nz_003 copy 3	12	angePoint	0.25	1120	NaN	376688	6672	0	NaN	NaN	NaN	NaN	NaN	NaN	174	333
Nz_003 copy 3	13	angePoint	0.25	1120	NaN	376688	6672	0	NaN	NaN	NaN	NaN	NaN	NaN	94	254
Nz_003 copy 3	14	angePoint	0.25	1120	NaN	376688	6672	0	NaN	NaN	NaN	NaN	NaN	NaN	99	333
Nz_003 copy 3	15	angePoint	0.25	1120	NaN	376688	6672	0	NaN	NaN	NaN	NaN	NaN	NaN	189	241
