imageName	leafletID	Class	ScalingFactor	distBottomTerminal	distanceToTerminalL	LeafArea	LeafPerimeter	Area	splitPoint1X	splitPoint1Y	splitPoint2X	splitPoint2Y	cutpointleafCoordinatesX	cutpointleafCoordinatesY	centerX	centerY
Nz_006 copy 2	1	leaflet	0.25	1452	0	532624	8788	240352	176	330	162	331	169	330	269.600585807482	169.290906670217
Nz_006 copy 2	3	leaflet	0.25	1452	280	532624	8788	63088	194	385	198	397	201	389	372.289373573421	231.363936089272
Nz_006 copy 2	2	leaflet	0.25	1452	248	532624	8788	63312	138	378	137	392	133	384	364.885013899419	106.493808440738
Nz_006 copy 2	4	leaflet	0.25	1452	596	532624	8788	34672	141	464	140	479	136	469	457.807106598985	113.415782187356
Nz_006 copy 2	5	leaflet	0.25	1452	612	532624	8788	34880	197	469	199	482	202	474	461.337614678899	225.216513761468
Nz_006 copy 2	7	leaflet	0.25	1452	1040	532624	8788	14544	201	576	201	591	202	583	580.825082508251	220.50495049505
Nz_006 copy 2	6	leaflet	0.25	1452	1028	532624	8788	9392	146	568	137	581	140	572	566.201022146508	129.988074957411
Nz_006 copy 2	8	bottomPoint	0.25	1452	1452	532624	8788	0	NaN	NaN	NaN	NaN	NaN	NaN	174	692
Nz_006 copy 2	9	TopPoint	0.25	1452	NaN	532624	8788	0	NaN	NaN	NaN	NaN	NaN	NaN	167	209
Nz_006 copy 2	10	midPoint	0.25	1452	NaN	532624	8788	0	NaN	NaN	NaN	NaN	NaN	NaN	251	283
Nz_006 copy 2	11	midPoint	0.25	1452	NaN	532624	8788	0	NaN	NaN	NaN	NaN	NaN	NaN	89	288
Nz_006 copy 2	12	angePoint	0.25	1452	NaN	532624	8788	0	NaN	NaN	NaN	NaN	NaN	NaN	203	320
Nz_006 copy 2	13	angePoint	0.25	1452	NaN	532624	8788	0	NaN	NaN	NaN	NaN	NaN	NaN	112	229
Nz_006 copy 2	14	angePoint	0.25	1452	NaN	532624	8788	0	NaN	NaN	NaN	NaN	NaN	NaN	130	320
Nz_006 copy 2	15	angePoint	0.25	1452	NaN	532624	8788	0	NaN	NaN	NaN	NaN	NaN	NaN	219	231
