imageName	leafletID	Class	ScalingFactor	distBottomTerminal	distanceToTerminalL	LeafArea	LeafPerimeter	Area	splitPoint1X	splitPoint1Y	splitPoint2X	splitPoint2Y	cutpointleafCoordinatesX	cutpointleafCoordinatesY	centerX	centerY
Nz_001 copy 4	1	leaflet	0.25	300	0	33052	1928	16268	158	354	171	353	164	353	288.254118514876	164.929432013769
Nz_001 copy 4	3	leaflet	0.25	300	61	33052	1928	4325	194	398	198	409	198	402	382.885086705202	232.235144508671
Nz_001 copy 4	2	leaflet	0.25	300	59	33052	1928	4366	144	398	142	411	140	403	380.512368300504	109.28928080623
Nz_001 copy 4	4	leaflet	0.25	300	132	33052	1928	1744	152	476	152	486	148	480	467.11869266055	129.605504587156
Nz_001 copy 4	5	leaflet	0.25	300	141	33052	1928	2199	194	474	199	487	199	478	460.510231923602	220.905411550705
Nz_001 copy 4	7	smallLeaflet	0.25	300	248	33052	1928	317	175	594	175	597	171	595	605.892744479495	195.239747634069
Nz_001 copy 4	8	bottomPoint	0.25	300	300	33052	1928	0	NaN	NaN	NaN	NaN	NaN	NaN	170	651
Nz_001 copy 4	9	TopPoint	0.25	300	NaN	33052	1928	0	NaN	NaN	NaN	NaN	NaN	NaN	161	225
Nz_001 copy 4	10	midPoint	0.25	300	NaN	33052	1928	0	NaN	NaN	NaN	NaN	NaN	NaN	250	298
Nz_001 copy 4	11	midPoint	0.25	300	NaN	33052	1928	0	NaN	NaN	NaN	NaN	NaN	NaN	80	303
Nz_001 copy 4	12	anglePoint	0.25	300	NaN	33052	1928	0	NaN	NaN	NaN	NaN	NaN	NaN	202	342
Nz_001 copy 4	13	anglePoint	0.25	300	NaN	33052	1928	0	NaN	NaN	NaN	NaN	NaN	NaN	105	244
Nz_001 copy 4	14	anglePoint	0.25	300	NaN	33052	1928	0	NaN	NaN	NaN	NaN	NaN	NaN	118	339
Nz_001 copy 4	15	anglePoint	0.25	300	NaN	33052	1928	0	NaN	NaN	NaN	NaN	NaN	NaN	214	242
