imageName	leafletID	Class	ScalingFactor	distBottomTerminal	distanceToTerminalL	LeafArea	LeafPerimeter	Area	splitPoint1X	splitPoint1Y	splitPoint2X	splitPoint2Y	cutpointleafCoordinatesX	cutpointleafCoordinatesY	centerX	centerY
Nz_002 copy	1	leaflet	0.25	236	0	25144	1597	12627	161	361	151	363	156	360	297.897521184763	163.43707927457
Nz_002 copy	3	leaflet	0.25	236	52	25144	1597	3418	177	398	178	407	180	401	385.547688706846	210.965769455822
Nz_002 copy	2	leaflet	0.25	236	56	25144	1597	3197	136	403	133	413	133	406	386.748514232093	104.595871129184
Nz_002 copy	4	leaflet	0.25	236	101	25144	1597	1630	136	452	134	461	133	456	444.060122699387	109.722699386503
Nz_002 copy	5	leaflet	0.25	236	108	25144	1597	1505	169	458	169	467	172	462	453.682392026578	196.399335548173
Nz_002 copy	6	smallLeaflet	0.25	236	157	25144	1597	34	153	511	154	516	156	512	513.176470588235	148.264705882353
Nz_002 copy	7	smallLeaflet	0.25	236	179	25144	1597	265	163	531	164	534	162	532	527.91320754717	177.709433962264
Nz_002 copy	8	bottomPoint	0.25	236	236	25144	1597	0	NaN	NaN	NaN	NaN	NaN	NaN	162	593
Nz_002 copy	9	TopPoint	0.25	236	NaN	25144	1597	0	NaN	NaN	NaN	NaN	NaN	NaN	153	245
Nz_002 copy	10	midPoint	0.25	236	NaN	25144	1597	0	NaN	NaN	NaN	NaN	NaN	NaN	237	306
Nz_002 copy	11	midPoint	0.25	236	NaN	25144	1597	0	NaN	NaN	NaN	NaN	NaN	NaN	90	311
Nz_002 copy	12	anglePoint	0.25	236	NaN	25144	1597	0	NaN	NaN	NaN	NaN	NaN	NaN	187	344
Nz_002 copy	13	anglePoint	0.25	236	NaN	25144	1597	0	NaN	NaN	NaN	NaN	NaN	NaN	107	264
Nz_002 copy	14	anglePoint	0.25	236	NaN	25144	1597	0	NaN	NaN	NaN	NaN	NaN	NaN	118	341
Nz_002 copy	15	anglePoint	0.25	236	NaN	25144	1597	0	NaN	NaN	NaN	NaN	NaN	NaN	204	252
