imageName	leafletID	Class	ScalingFactor	distBottomTerminal	distanceToTerminalL	LeafArea	LeafPerimeter	Area	splitPoint1X	splitPoint1Y	splitPoint2X	splitPoint2Y	cutpointleafCoordinatesX	cutpointleafCoordinatesY	centerX	centerY
Ox_21	1	leaflet	0.25	1568	0	243136	6980	90512	167	266	155	262	163	266	227.997171645749	163.261799540392
Ox_21	3	leaflet	0.25	1568	384	243136	6980	32512	204	359	200	371	202	362	378.619094488189	226.906988188976
Ox_21	2	leaflet	0.25	1568	428	243136	6980	35488	121	351	117	339	120	348	350.971596032462	99.3444544634806
Ox_21	4	leaflet	0.25	1568	784	243136	6980	12048	138	466	130	457	136	464	464.439575033201	116.756972111554
Ox_21	5	leaflet	0.25	1568	1052	243136	6980	19584	208	503	217	511	211	505	495.832516339869	232.142156862745
Ox_21	7	smallLeaflet	0.25	1568	1576	243136	6980	16	177	656	179	653	176	654	656	179
Ox_21	8	bottomPoint	0.25	1568	1568	243136	6980	0	NaN	NaN	NaN	NaN	NaN	NaN	174	656
Ox_21	9	TopPoint	0.25	1568	NaN	243136	6980	0	NaN	NaN	NaN	NaN	NaN	NaN	161	188
Ox_21	10	midPoint	0.25	1568	NaN	243136	6980	0	NaN	NaN	NaN	NaN	NaN	NaN	212	230
Ox_21	11	midPoint	0.25	1568	NaN	243136	6980	0	NaN	NaN	NaN	NaN	NaN	NaN	116	234
Ox_21	12	angePoint	0.25	1568	NaN	243136	6980	0	NaN	NaN	NaN	NaN	NaN	NaN	192	263
Ox_21	13	angePoint	0.25	1568	NaN	243136	6980	0	NaN	NaN	NaN	NaN	NaN	NaN	128	200
Ox_21	14	angePoint	0.25	1568	NaN	243136	6980	0	NaN	NaN	NaN	NaN	NaN	NaN	137	256
Ox_21	15	angePoint	0.25	1568	NaN	243136	6980	0	NaN	NaN	NaN	NaN	NaN	NaN	190	203
