imageName	leafletID	Class	ScalingFactor	distBottomTerminal	distanceToTerminalL	LeafArea	LeafPerimeter	Area	splitPoint1X	splitPoint1Y	splitPoint2X	splitPoint2Y	cutpointleafCoordinatesX	cutpointleafCoordinatesY	centerX	centerY
Nz_005	1	leaflet	0.25	312	0	33619	2104	16098	161	336	173	337	167	336	272.947633246366	165.406448005963
Nz_005	3	leaflet	0.25	312	71	33619	2104	3673	196	387	197	398	200	391	372.736455213722	228.349305744623
Nz_005	2	leaflet	0.25	312	63	33619	2104	4168	138	384	136	395	135	388	369.132917466411	103.936900191939
Nz_005	4	leaflet	0.25	312	135	33619	2104	2325	139	477	137	467	135	473	472.669677419355	105.43311827957
Nz_005	5	leaflet	0.25	312	151	33619	2104	1844	195	469	198	481	199	473	459.386117136659	221.088394793926
Nz_005	6	leaflet	0.25	312	209	33619	2104	1028	150	537	151	548	148	542	538.688715953307	128.839494163424
Nz_005	7	leaflet	0.25	312	234	33619	2104	715	197	575	201	565	201	571	569.381818181818	218.434965034965
Nz_005	8	bottomPoint	0.25	312	312	33619	2104	0	NaN	NaN	NaN	NaN	NaN	NaN	178	644
Nz_005	9	TopPoint	0.25	312	NaN	33619	2104	0	NaN	NaN	NaN	NaN	NaN	NaN	162	206
Nz_005	10	midPoint	0.25	312	NaN	33619	2104	0	NaN	NaN	NaN	NaN	NaN	NaN	250	288
Nz_005	11	midPoint	0.25	312	NaN	33619	2104	0	NaN	NaN	NaN	NaN	NaN	NaN	84	294
Nz_005	12	anglePoint	0.25	312	NaN	33619	2104	0	NaN	NaN	NaN	NaN	NaN	NaN	193	320
Nz_005	13	anglePoint	0.25	312	NaN	33619	2104	0	NaN	NaN	NaN	NaN	NaN	NaN	108	236
Nz_005	14	anglePoint	0.25	312	NaN	33619	2104	0	NaN	NaN	NaN	NaN	NaN	NaN	124	331
Nz_005	15	anglePoint	0.25	312	NaN	33619	2104	0	NaN	NaN	NaN	NaN	NaN	NaN	224	229
