imageName	leafletID	Class	ScalingFactor	distBottomTerminal	distanceToTerminalL	LeafArea	LeafPerimeter	Area	splitPoint1X	splitPoint1Y	splitPoint2X	splitPoint2Y	cutpointleafCoordinatesX	cutpointleafCoordinatesY	centerX	centerY
Ox_28	1	leaflet	0.25	366	0	16320	1702	6584	157	254	147	251	153	251	207.340826245444	154.599635479951
Ox_28	3	leaflet	0.25	366	91	16320	1702	2240	198	345	202	337	202	342	341.979017857143	231.317410714286
Ox_28	2	leaflet	0.25	366	101	16320	1702	2075	106	333	104	342	103	336	318.13156626506	84.470843373494
Ox_28	4	leaflet	0.25	366	194	16320	1702	724	117	434	118	443	115	438	436.21546961326	99.7334254143646
Ox_28	5	leaflet	0.25	366	202	16320	1702	996	174	447	172	455	176	451	450.775100401606	193.404618473896
Ox_28	6	bottomPoint	0.25	366	366	16320	1702	0	NaN	NaN	NaN	NaN	NaN	NaN	149	613
Ox_28	7	TopPoint	0.25	366	NaN	16320	1702	0	NaN	NaN	NaN	NaN	NaN	NaN	154	170
Ox_28	8	midPoint	0.25	366	NaN	16320	1702	0	NaN	NaN	NaN	NaN	NaN	NaN	205	215
Ox_28	9	midPoint	0.25	366	NaN	16320	1702	0	NaN	NaN	NaN	NaN	NaN	NaN	102	212
Ox_28	10	anglePoint	0.25	366	NaN	16320	1702	0	NaN	NaN	NaN	NaN	NaN	NaN	177	239
Ox_28	11	anglePoint	0.25	366	NaN	16320	1702	0	NaN	NaN	NaN	NaN	NaN	NaN	117	180
Ox_28	12	anglePoint	0.25	366	NaN	16320	1702	0	NaN	NaN	NaN	NaN	NaN	NaN	125	243
Ox_28	13	anglePoint	0.25	366	NaN	16320	1702	0	NaN	NaN	NaN	NaN	NaN	NaN	192	176
