imageName	leafletID	Class	ScalingFactor	distBottomTerminal	distanceToTerminalL	LeafArea	LeafPerimeter	Area	splitPoint1X	splitPoint1Y	splitPoint2X	splitPoint2Y	cutpointleafCoordinatesX	cutpointleafCoordinatesY	centerX	centerY
Nz_007 copy 4	1	leaflet	0.25	1472	0	602000	9752	193296	153	360	140	361	147	358	292.498716993626	155.423888750931
Nz_007 copy 4	2	leaflet	0.25	1472	100	602000	9752	79168	118	366	116	380	116	372	356.828617623282	75.1467259498787
Nz_007 copy 4	3	leaflet	0.25	1472	328	602000	9752	80304	184	415	187	427	188	419	395.930663478781	221.214385335724
Nz_007 copy 4	4	leaflet	0.25	1472	404	602000	9752	66096	118	463	114	451	114	459	454.229000242072	75.4146695715323
Nz_007 copy 4	5	leaflet	0.25	1472	684	602000	9752	46528	176	506	181	518	181	509	488.26272352132	205.667812929849
Nz_007 copy 4	6	leaflet	0.25	1472	748	602000	9752	30896	117	532	114	544	114	537	530.053340238219	88.180217503884
Nz_007 copy 4	7	leaflet	0.25	1472	1116	602000	9752	12880	177	614	184	625	182	617	606.07950310559	192.982608695652
Nz_007 copy 4	8	leaflet	0.25	1472	1236	602000	9752	4592	120	646	115	660	118	652	650.790940766551	109.18118466899
Nz_007 copy 4	9	bottomPoint	0.25	1472	1472	602000	9752	0	NaN	NaN	NaN	NaN	NaN	NaN	153	723
Nz_007 copy 4	10	TopPoint	0.25	1472	NaN	602000	9752	0	NaN	NaN	NaN	NaN	NaN	NaN	145	230
Nz_007 copy 4	11	midPoint	0.25	1472	NaN	602000	9752	0	NaN	NaN	NaN	NaN	NaN	NaN	218	291
Nz_007 copy 4	12	midPoint	0.25	1472	NaN	602000	9752	0	NaN	NaN	NaN	NaN	NaN	NaN	91	294
Nz_007 copy 4	13	angePoint	0.25	1472	NaN	602000	9752	0	NaN	NaN	NaN	NaN	NaN	NaN	195	344
Nz_007 copy 4	14	angePoint	0.25	1472	NaN	602000	9752	0	NaN	NaN	NaN	NaN	NaN	NaN	101	250
Nz_007 copy 4	15	angePoint	0.25	1472	NaN	602000	9752	0	NaN	NaN	NaN	NaN	NaN	NaN	114	322
Nz_007 copy 4	16	angePoint	0.25	1472	NaN	602000	9752	0	NaN	NaN	NaN	NaN	NaN	NaN	185	249
